TONY STARK,63005
STEVE ROGERS,69279
THOR,44556
PETER PARKER,36478
NATASHA ROMANOFF,63060
PEPPER POTTS,50541
BRUCE BANNER,47888
NICK FURY,46798
LOKI,38138
SCOTT LANG,21748
JAMES RHODES,52128
PETER QUILL,22940
CAROL DANVERS,16777
JANE FOSTER,18742
ROCKET,22940
CLINT BARTON,36239
SAM WILSON,43483
GAMORA,22940
T'CHALLA,31192
HAPPY HOGAN,34969
HANK PYM,14863
ODIN,10779
JARVIS,28865
NED LEEDS,18288
ERIK SELVIG,21528
PHIL COULSON,24997
BUCKY BARNES,40903
THANOS,27486
DRAX,22940
WANDA MAXIMOFF,34236
DARCY LEWIS,7161
ADRIAN TOOMES,9354
PEGGY CARTER,42282
SHURI,12930
HOPE VAN DYNE,14863
VALKYRIE,15480
LUIS,3167
JUSTIN HAMMER,5905
ULTRON,7016
MARIA HILL,30262
NEBULA,22940
STEPHEN STRANGE,24288
VISION,22875
VOLSTAGG,10779
NAKIA,3964
LIZ TOOMES,9354
YON-ROGG,5090
YONDU,2436
FRIGGA,18742
OKOYE,24446
KAREN,9354
MANTIS,22940
EVERETT ROSS,10977
MAYA HANSEN,5627
HOWARD STARK,34072
SIF,7161
ALEXANDER PIERCE,18720
COL. CHESTER PHILLIPS,7209
TALOS,5090
ALDRICH KILLIAN,5627
EGO,2436
FANDRAL,7161
RED SKULL,27657
DARREN CROSS,3167
N'JADAKA (KILLMONGER),3964
HEIMDALL,26244
HARLEY KEENER,5627
OBADIAH STANE,3506
"JAMES ""JIM"" PAXTON",3167
BROCK RUMLOW,25571
MAY PARKER,16333
MARIA RAMBEAU,5090
HULK,20374
DR. ARNIM ZOLA,14114
YINSEN,3506
FRIDAY,43020
ULYSSES KLAUE,10888
GRANDMASTER,3784
SHARON CARTER,14050
DR. ABRAHAM ERSKINE,7209
IVAN VANKO,5905
PHINEAS MASON,9354
SENATOR STERN,12846
DAVE,3167
HELA,3784
HELMUT ZEMO,7122
CHRISTINE EVERHART,9316
KORG,15480
HERMAN SCHULTZ,9354
KURT,3167
CASSIE LANG,14863
SECRETARY ROSS,16075
MALEKITH,3660
PIETRO MAXIMOFF,7016
FLASH THOMPSON,9354
GROOT,22940
EBONY MAW,20715
M'BAKU,12930
RICHARD,3660
AARON DAVIS,9354
IAN BOOTHBY,3660
JASPER SITWELL,7052
ZURI,3964
RAMONDA,3964
