source,target
PYM TECH GATE GUARD,STEVE ROGERS
POOL BBQ DAD,STEVE ROGERS
CAB DRIVER,STEVE ROGERS
PYM TECH EMPLOYEE,STEVE ROGERS
COP ON SPEAKER,STEVE ROGERS
POLICE RADIO,STEVE ROGERS
PYM TECH SECURITY GUARD,STEVE ROGERS
HIDEOUS RABBIT,STEVE ROGERS
ALPHA GUARD,STEVE ROGERS
PEACHY,STEVE ROGERS
DETECTIVE,STEVE ROGERS
ICE CREAM STORE CUSTOMER,STEVE ROGERS
GALE,STEVE ROGERS
FRANK,STEVE ROGERS
COMPUTER,STEVE ROGERS
MITCHELL CARSON,STEVE ROGERS
DALE,STEVE ROGERS
MAGGIE LANG,STEVE ROGERS
CASSIE LANG,STEVE ROGERS
KURT,STEVE ROGERS
DAVE,STEVE ROGERS
"JAMES ""JIM"" PAXTON",STEVE ROGERS
DARREN CROSS,STEVE ROGERS
HOWARD STARK,STEVE ROGERS
LUIS,STEVE ROGERS
HOPE VAN DYNE,STEVE ROGERS
PEGGY CARTER,STEVE ROGERS
HANK PYM,STEVE ROGERS
SAM WILSON,STEVE ROGERS
SCOTT LANG,STEVE ROGERS
NATASHA ROMANOFF,STEVE ROGERS
CAB DRIVER,NATASHA ROMANOFF
COP ON SPEAKER,NATASHA ROMANOFF
HIDEOUS RABBIT,NATASHA ROMANOFF
ALPHA GUARD,NATASHA ROMANOFF
DETECTIVE,NATASHA ROMANOFF
ICE CREAM STORE CUSTOMER,NATASHA ROMANOFF
GALE,NATASHA ROMANOFF
FRANK,NATASHA ROMANOFF
COMPUTER,NATASHA ROMANOFF
MITCHELL CARSON,NATASHA ROMANOFF
DALE,NATASHA ROMANOFF
MAGGIE LANG,NATASHA ROMANOFF
CASSIE LANG,NATASHA ROMANOFF
KURT,NATASHA ROMANOFF
DAVE,NATASHA ROMANOFF
"JAMES ""JIM"" PAXTON",NATASHA ROMANOFF
DARREN CROSS,NATASHA ROMANOFF
HOWARD STARK,NATASHA ROMANOFF
LUIS,NATASHA ROMANOFF
HOPE VAN DYNE,NATASHA ROMANOFF
HANK PYM,NATASHA ROMANOFF
PYM TECH GATE GUARD,SCOTT LANG
POOL BBQ DAD,SCOTT LANG
CAB DRIVER,SCOTT LANG
PYM TECH EMPLOYEE,SCOTT LANG
COP ON SPEAKER,SCOTT LANG
POLICE RADIO,SCOTT LANG
PYM TECH SECURITY GUARD,SCOTT LANG
HIDEOUS RABBIT,SCOTT LANG
ALPHA GUARD,SCOTT LANG
PEACHY,SCOTT LANG
DETECTIVE,SCOTT LANG
ICE CREAM STORE CUSTOMER,SCOTT LANG
GALE,SCOTT LANG
FRANK,SCOTT LANG
COMPUTER,SCOTT LANG
MITCHELL CARSON,SCOTT LANG
DALE,SCOTT LANG
MAGGIE LANG,SCOTT LANG
CASSIE LANG,SCOTT LANG
KURT,SCOTT LANG
DAVE,SCOTT LANG
"JAMES ""JIM"" PAXTON",SCOTT LANG
DARREN CROSS,SCOTT LANG
HOWARD STARK,SCOTT LANG
LUIS,SCOTT LANG
HOPE VAN DYNE,SCOTT LANG
PEGGY CARTER,SCOTT LANG
HANK PYM,SCOTT LANG
SAM WILSON,SCOTT LANG
NATASHA ROMANOFF,SCOTT LANG
PYM TECH GATE GUARD,SAM WILSON
POOL BBQ DAD,SAM WILSON
CAB DRIVER,SAM WILSON
PYM TECH EMPLOYEE,SAM WILSON
COP ON SPEAKER,SAM WILSON
POLICE RADIO,SAM WILSON
PYM TECH SECURITY GUARD,SAM WILSON
HIDEOUS RABBIT,SAM WILSON
ALPHA GUARD,SAM WILSON
PEACHY,SAM WILSON
DETECTIVE,SAM WILSON
ICE CREAM STORE CUSTOMER,SAM WILSON
