source,target
VIDEO VOICE OVER,STEVE ROGERS
PYM TECH GATE GUARD,NATASHA ROMANOFF
POOL BBQ DAD,NATASHA ROMANOFF
PYM TECH EMPLOYEE,NATASHA ROMANOFF
POLICE RADIO,NATASHA ROMANOFF
VIDEO VOICE OVER,NATASHA ROMANOFF
PYM TECH SECURITY GUARD,NATASHA ROMANOFF
PEACHY,NATASHA ROMANOFF
PEGGY CARTER,NATASHA ROMANOFF
SAM WILSON,NATASHA ROMANOFF
SCOTT LANG,NATASHA ROMANOFF
STEVE ROGERS,NATASHA ROMANOFF
VIDEO VOICE OVER,SCOTT LANG
STEVE ROGERS,SCOTT LANG
VIDEO VOICE OVER,SAM WILSON
SCOTT LANG,SAM WILSON
STEVE ROGERS,SAM WILSON
PYM TECH GATE GUARD,HANK PYM
POOL BBQ DAD,HANK PYM
PYM TECH EMPLOYEE,HANK PYM
POLICE RADIO,HANK PYM
VIDEO VOICE OVER,HANK PYM
PYM TECH SECURITY GUARD,HANK PYM
HIDEOUS RABBIT,HANK PYM
PEACHY,HANK PYM
ICE CREAM STORE CUSTOMER,HANK PYM
MITCHELL CARSON,HANK PYM
MAGGIE LANG,HANK PYM
KURT,HANK PYM
"JAMES ""JIM"" PAXTON",HANK PYM
HOWARD STARK,HANK PYM
LUIS,HANK PYM
HOPE VAN DYNE,HANK PYM
PEGGY CARTER,HANK PYM
SAM WILSON,HANK PYM
SCOTT LANG,HANK PYM
NATASHA ROMANOFF,HANK PYM
STEVE ROGERS,HANK PYM
PYM TECH GATE GUARD,PEGGY CARTER
POOL BBQ DAD,PEGGY CARTER
PYM TECH EMPLOYEE,PEGGY CARTER
POLICE RADIO,PEGGY CARTER
VIDEO VOICE OVER,PEGGY CARTER
PYM TECH SECURITY GUARD,PEGGY CARTER
SAM WILSON,PEGGY CARTER
SCOTT LANG,PEGGY CARTER
STEVE ROGERS,PEGGY CARTER
PYM TECH GATE GUARD,HOPE VAN DYNE
POOL BBQ DAD,HOPE VAN DYNE
PYM TECH EMPLOYEE,HOPE VAN DYNE
POLICE RADIO,HOPE VAN DYNE
VIDEO VOICE OVER,HOPE VAN DYNE
PYM TECH SECURITY GUARD,HOPE VAN DYNE
PEACHY,HOPE VAN DYNE
ICE CREAM STORE CUSTOMER,HOPE VAN DYNE
MITCHELL CARSON,HOPE VAN DYNE
MAGGIE LANG,HOPE VAN DYNE
KURT,HOPE VAN DYNE
"JAMES ""JIM"" PAXTON",HOPE VAN DYNE
HOWARD STARK,HOPE VAN DYNE
